GALGEN;KWPOLSKA 2012
ss119.png;Control Panel: Windows Update’s new icon.
ss120.png;Control Panel: Family Safety vs Parental Controls.
ss121.png;Control Panel: System.
ss122.png;Control Panel: Windows Activation.
ss123.png;Control Panel: Language.
ss124.png;Add features to Windows 8: Adding Windows Media Center.
ss125.png;Adding features on LogonUI.
ss126.png;Start screen with WMC tile on it.
ss127.png;Thanks for installing WMC.  Notice the changed OS name in the bottom right corner.
ss128.png;Task Manager displaying high CPU usage by WMP.
menucomparison.png;Menus comparison.
